Dependency=proto_bldg_type	Option=1	Option=2	Option=3	Option=4	Option=5	Option=6	Option=7	Option=8	Option=9	Option=10	Option=11	Option=12	Option=13	Option=14	Option=15	Option=16	Option=17	Option=18	Option=19	Option=20	Option=21	Option=22	Option=23	Option=24	Option=25	Option=26	Option=27	Option=28	Option=29	Option=30	Option=31	Option=32	Option=33	Option=34	Option=35	Option=36	Option=37	Option=38	Option=39	Option=40	Option=41	Option=42	Option=43	Option=44	Option=45	Option=46	Option=47	Option=48	Option=49	Option=50	Option=51	Option=52
full_service_restaurant	0E+8	0.04873456493587562174209031938	0.3730564845044274372423278571	0.003859164169080638213990493198	0.01619470439736702738238616460	0.003560870366156622631653066069	0.002132778891034472512601434933	0E+8	0.2831326601390047112722128752	0.01959754019441719737978139109	0.02595946008307035474780484563	0.01130806571878317768233335670	0.02225332517007569570724422627	0.02877102749967519130084094711	0E+8	0.009860648937465983285732190018	0E+8	0E+8	0.006691886017433901889995924547	0E+8	0.007958521844127038106683907279	0.006332757916506618385902014080	0.01796257901526640712480800930	0.01936172465058501601806538480	0E+8	0.004040635950871320587055508965	0E+8	0E+8	0.007823239428482704787785541840	0.01284148093812610547582538005	0.007095023744053074104885307594	0E+8	0.03110606544139098669181035180	0E+8	0E+8	0E+8	0E+8	0.003642723353863143466499298519	0E+8	0E+8	0.002340703017483695896770985246	0E+8	0.006630445821113085521489537436	0E+8	0E+8	0E+8	0.003560870366156622631653066069	0E+8	0.007095023744053074104885307594	0.007095023744053074104885307594	0E+8	0E+8
hospital	0E+9	0E+9	0.06417888824392163030144356310	0.09482175865968238315994776185	0.04815773672770876763889286010	0E+9	0.5027105233287176931448391396	0.001110367103713737051565793403	0.0004154068339889628836563439837	0E+9	0.002055599177008442194662457192	0E+9	0.0006923447232105414041537426033	0.04326611052585364356089406097	0E+9	0E+9	0E+9	0.0009692826125365166599246385924	0E+9	0E+9	0E+9	0E+9	0E+9	0.01723673961262886771883419609	0.004111198354016884389324914384	0.06887027246478137376955636761	0.0009692826125365166599246385924	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0.02397712639167652633529160637	0.0009692826125365166599246385924	0.002149958448160974765856252449	0.01714846655933387656637010435	0E+9	0.06728500140680674061112241192	0.03569820477485852141399193319	0.003206448826320883109822575051	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9
large_hotel	0.003022589626588062486053963431	0.1470204465553146432268545477	0.08298313323689725166332848035	0.1077352191145248292796690343	0.01500839210452259336128553882	0E+9	0.08256544781758854442556459295	0E+9	0E+9	0E+9	0.0005318474172488177888039381460	0.007452340245509735631475148950	0.06434506585141397912904015113	0.3953881280242115289608729436	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0.03364008652550498473010263653	0E+9	0E+9	0E+9	0.01189569374638109468958567038	0.002210482993170491565163502398	0E+9	0E+9	0E+9	0E+9	0E+9	0.007445429744891332550538210397	0E+9	0E+9	0.0005318474172488177888039381460	0E+9	0E+9	0.003022589626588062486053963431	0.01411563224880501563837623806	0E+9	0.0005318474172488177888039381460	0.003629710927285520887930360800	0.01087889010587975094958527554	0.006045179253176124972107926863	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9
medium_office	0.001202448315048804304384226233	0.1247209953237861818862405503	0.2956112431626773379822364224	0.009426710414146525743424751865	0.03161904460126642223983149709	0.003638241739137641360310465052	0.02978848730116472314896231267	0E+9	0.2893970618620223271384158008	0.009643528304898568759607916027	0.002468066647400874548341765994	0.01819186564903575568038785909	0.01504455858752375177104266979	0.03062844873190315674875543814	0.002802383221929060651243459032	0.02085842555962811804922684236	0E+9	0.0003716681684131823662102952554	0E+9	0E+9	0.01380007900174202511534281846	0.002606829141443206197630200566	0.01319803979700100674653023125	0.001920805508841353695565795444	0.0009059985842270675485839851091	0.005901403486608946090474592168	0.001968752380740552487950655473	0.0004860759943332620815672584021	0.002757247255594824925630311186	0.009468411359215698226692300000	0.001416723839619400408286187555	0E+9	0.03230699551749430850068147593	0.002767862040695565610738560426	0.00003536431486206388859805052261	0E+9	0E+9	0.003215762624774847169080788374	0E+9	0.0001081892828246818810280664188	0.001391773099758499256568489755	0.003353597327586031592597556168	0.007939352011179796928068154186	0.003032492938898542347943353192	0E+9	0E+9	0E+9	0.00007775320630506674113496607666	0.003440589310836070463539820610	0.002486724385434749717144110618	0E+9	0E+9
midrise_apartment	0.002769795432195075264321159457	0.1532375565956541578402215661	0.1094533454935264995009791175	0.02045216344398379093790178396	0.04926001043214968525028046309	0E+9	0.06169045851937474860296188206	0E+9	0.1883415302497777128465542299	0E+9	0.02489549212647069748984205979	0.05518545505787108286119464584	0.02106141998890127059793079530	0.03756895317092463863025384320	0E+9	0.03308641866191389957228659391	0E+9	0.002398713826564252365193159749	0E+9	0E+9	0E+9	0.02490876468810039598101499202	0E+9	0E+9	0E+9	0.01054374484824268665324106720	0E+9	0E+9	0.06666762548853275342270257427	0E+9	0.04124625797536602248535683694	0E+9	0.002715478508730429465818003600	0.0002821172723787542595837374684	0E+9	0E+9	0.01578606741058251600128832835	0.01532036295984415863409998087	0E+9	0.03706503475312866275868443149	0.0006055211378067046711959874187	0.0006055211378067046711959874187	0.004946189545593460094546012365	0.01733743070659103124698165075	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0.002568570567988207894369109959	0E+9
outpatient	0E+9	0.06932552389750893212977427381	0.3591717964351776964429630361	0.02383240535950849810514602717	0.02543845295465318248035875175	0E+9	0.02787397725522200828970233038	0E+9	0.3440705715881102198347700958	0.009118247384635355901791489691	0E+9	0.005286114593535433662206658128	0E+9	0E+9	0E+9	0E+9	0E+9	0E+9	0.01059987927423687637307502026	0E+9	0.02197075159375053698638845094	0.01050704040654425098600640066	0E+9	0E+9	0E+9	0.01425700682755222718309660430	0E+9	0E+9	0.006100261347009292289936654517	0E+9	0E+9	0E+9	0.04804084280769175413147143207	0E+9	0E+9	0E+9	0E+9	0.002343733007166718574943730594	0E+9	0.007682187398524028340602225138	0.0001338059891460303925885978016	0E+9	0.001198781240021556876299990589	0.001715322114180570028670267975	0E+9	0E+9	0E+9	0.01133329852582483099020796237	0E+9	0E+9	0E+9	0E+9
primary_school	0.005269417438845684523451359061	0.09608923440945608387945735382	0.3368896243503640561900445692	0.01490405223112994287596082338	0.04912588030788446847962028916	0E+8	0.06533705899315283417623230808	0.0009776698599878125314022804299	0.1469957912248730885238039168	0.01345463002849640194219090552	0.007919002972470821679608565577	0.03288160822502813830559181115	0.01118280049520808043646562700	0.01772358570899443292787128535	0.001963777236353980620261692097	0.01276664111379068204092722386	0E+8	0E+8	0.005818453881897440965615379639	0E+8	0.001150562344641961417227050452	0.006767718462529709410238012914	0.01832973073157842510216408275	0.001131903926136226906601721675	0E+8	0.01026367766153674144000684750	0.001150562344641961417227050452	0.001131903926136226906601721675	0.03986993000314491995508213006	0.02435781590045827706237713499	0.002070692316548717078599708349	0E+8	0.02913627167920610550580852571	0E+8	0.009432063367311161670117557715	0E+8	0.0009776698599878125314022804299	0.00007452705505871786832270498939	0.007103835886386742075135904015	0E+8	0.02086824251464271357077674683	0E+8	0.001833049297579869701221695996	0E+8	0E+8	0E+8	0E+8	0.003132249270045378499878581866	0.001918364974494381782705151454	0E+8	0E+8	0E+8
quick_service_restaurant	0E+8	0.03436528534839150191225608168	0.6752634059273786113902734740	0E+8	0.02827305453508818204172072932	0E+8	0E+8	0E+8	0.09960602696877516882815213826	0.01084122728387957751277667343	0.02118525040095820865624388947	0E+8	0.01084122728387957751277667343	0.01349039358951496795621207084	0E+8	0.01181175117682275575144365409	0E+8	0E+8	0E+8	0E+8	0E+8	0.01349695378770076878301570041	0E+8	0.03722054557280699693538778086	0E+8	0E+8	0E+8	0E+8	0.009134899547579530739850184837	0.005465253706399169388778760912	0.008768271235304601832931819240	0E+8	0.01023319819559126019616000961	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0.01000325543992912056202035965	0E+8	0E+8
retail	0E+8	0.1109627488891831890408398149	0.3326206031677975967599464154	0.005608623313275715004249799833	0.006261019878353428947891571157	0E+8	0.0001492840133823236587034224652	0E+8	0.2243773279901319841886954959	0.005475190014561668888903731974	0E+8	0.01641203527980538247850085789	0.03578521400451059239959908454	0.02491435362498132037995170951	0E+8	0.02080928959193185954831010381	0E+8	0.004436909107381987127436486548	0.005285266533244979115138539059	0E+8	0.01610966613309908683875453395	0.01135600888856299591797740092	0.01436085643474939434864447471	0.02987014277222399899681028455	0E+8	0E+8	0E+8	0E+8	0.01395952253601382929361333334	0.03022089660928771564562266846	0.03663267898842315163528292035	0.005059293601175154578057832636	0.02211491604216934037384308869	0E+8	0E+8	0E+8	0E+8	0.004436909107381987127436486548	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0.0001492840133823236587034224652	0E+8	0E+8	0.0002307074929429881062541817297	0.007706956631983544760325758776	0.01469429534006246118050657988	0E+8	0E+8
secondary_school	0.004751379205537940543418899497	0.08273654422816282721178987331	0.1609331454815322440606062719	0.02165682945378960758220595600	0.05781155861114302909776308207	0E+8	0.1583270245836532347255270131	0E+8	0.03153883783623137463440012888	0E+8	0E+8	0.01603974403249788989728657883	0.03145010641847125530209830408	0.03428720573809537739361515014	0E+8	0.001234786643962508563504293414	0.004527569525622580029218428254	0.008569480596209810958129360859	0E+8	0E+8	0E+8	0.01417012053192737940258091773	0E+8	0.007401796831752365682301949185	0E+8	0.03731976962377741070211094203	0E+8	0E+8	0.003042782618161448044907873624	0E+8	0.02540171038022965843599020578	0E+8	0.01489308195225593323087523398	0.005291635497531106759482912997	0E+8	0E+8	0.003071697046858174220771772603	0.008146156556978356305903163115	0E+8	0.01591146778835030217001645735	0.08449262835709611892276089553	0.0002342426325270957310455867261	0.1276779325597341766849931215	0.01448478793639668427510032946	0.007665887995043132497160537130	0E+8	0E+8	0.007122514083784549120406344008	0.009360540208920052326658498408	0E+8	0E+8	0.0004470350437663754873699184905
