Dependency=division	Dependency=proto_bldg_type	Option=pre_1920	Option=1920_1945	Option=1946_1959	Option=1960_1969	Option=1970_1979	Option=1980_1989	Option=1990_1999	Option=2000_2003	Option=2004_2007	Option=2008_2012
3	large_office	0.048227913	0.18882401	0.101888223	0.099237622	0.165028032	0.118377904	0.187492772	0.030024355	0.060899168	0
3	no_match	0.086363411	0.124632063	0.125190765	0.09194989	0.130375809	0.120843012	0.182796092	0.058485265	0.025405948	0.053957746
4	full_service_restaurant	0.082109448	0.242250216	0	0.064939964	0.163994294	0.060551057	0.218085642	0.039837661	0.03271968	0.095512037
4	hospital	0	0	0.149876763	0.050927458	0.240010861	0.051239994	0.021962019	0.026370695	0.01243465	0.44717756
4	large_hotel	0	0	0	0	0.058454318	0.340886892	0.570177488	0	0	0.030481302
4	midrise_apartment	0.027742551	0	0.153896854	0.108761533	0.426896531	0.185892407	0	0.078493833	0.018316291	0
4	highrise_apartment	0.027742551	0	0.153896854	0.108761533	0.426896531	0.185892407	0	0.078493833	0.018316291	0
4	outpatient	0.096322969	0.000435013	0.03589178	0.181247647	0.257006776	0.293579373	0.110326358	0.000877024	0	0.024313061
4	primary_school	0	0.040917151	0.15126357	0.26983334	0.056904213	0.085946899	0.089325986	0.094182742	0.066185172	0.145440926
4	quick_service_restaurant	0	0	0.137057552	0	0.276200519	0.146685482	0	0.146685482	0.293370965	0
4	retail	0.196518904	0.085471967	0.155547679	0.188260836	0.013357897	0.171245927	0.057030575	0.031808844	0.058510858	0.042246513
4	secondary_school	0.029663825	0.077702579	0.219450136	0.252244776	0.061693049	0.174517562	0.017714918	0.108058521	0.029663825	0.029290808
4	small_hotel	0.065957505	0.007107507	0.065957505	0.28291543	0.065957505	0.065957505	0.027371931	0.242064912	0.168389752	0.008320447
4	strip_mall	0.072212702	0	0.186543705	0.153699659	0.116889311	0.393485046	0.045600494	0.026170108	0.005398974	0
4	super_market	0.072212702	0	0.186543705	0.153699659	0.116889311	0.393485046	0.045600494	0.026170108	0.005398974	0
4	warehouse	0.119157268	0.123613782	0.129956029	0.072138478	0.083105908	0.1721554	0.112844097	0.09939701	0.002791595	0.084840433
4	small_office	0.095565272	0	0.054285498	0.000736673	0.240835735	0.239979443	0.325654953	0.042942425	0	0
4	medium_office	0.240688193	0.030653142	0.033549826	0.234722357	0.122361639	0.107300697	0.087953426	0.09137003	0.022038397	0.029362293
4	large_office	0.240688193	0.030653142	0.033549826	0.234722357	0.122361639	0.107300697	0.087953426	0.09137003	0.022038397	0.029362293
4	no_match	0.072588118	0.15640718	0.057921915	0.150839978	0.080688672	0.153901384	0.176770196	0.060915808	0.036067238	0.053899509
5	full_service_restaurant	0.058084946	0.101977301	0.131402787	0.100313954	0.066471856	0.147577036	0.201052903	0.046653176	0.036054281	0.11041176
5	hospital	0.004978636	0.004878432	0.044067069	0.172698558	0.535970197	0.04489662	0.126396642	0.010025662	0.028071037	0.028017147
